CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.06.02;Despesas Financeiras;-866248.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.07;Resultado Antes dos Tributos sobre o Lucro;268725.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.07;Resultado Antes dos Tributos sobre o Lucro;504600.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;-72197.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;-131913.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.08.01;Corrente;-15247.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.08.01;Corrente;-8869.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.08.02;Diferido;-56950.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.08.02;Diferido;-123044.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.09;Resultado Líquido das Operações Continuadas;196528.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.09;Resultado Líquido das Operações Continuadas;372687.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.10;Resultado Líquido de Operações Descontinuadas;0.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.10;Resultado Líquido de Operações Descontinuadas;0.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.10.01;Lucro/Prejuízo Líquido das Operações Descontinuadas;0.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.10.01;Lucro/Prejuízo Líquido das Operações Descontinuadas;0.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.10.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.10.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.0000000000;S
